What is your PRIMARY MAJOR?,"Internship, field experience, co-op, or practicum",ParticipateServiceL,ParticipateCService,ParticipateStudyAbroadSemester,SJ1,SJ2,SJ3,SJ4,SJ5,SJ6,SJ7,SJ8,DA1,DA2,DA3,DA4,DA5,LocalRole,LocalFinance,LocalTime,GlobalRole,GlobalFinance,GlobalTime,Your gender?
24,,,1,,2,4,5,3,5,5,5,4,2,3,1,3,2,,,,,,,2
13,,,,,3,3,4,4,2,2,3,2,1,3,2,4,4,,,,,,,2
66,,,,,1,1,1,1,4,4,3,4,3,3,3,5,4,,,,,,,1
3,1,,,,2,2,3,2,3,3,3,3,3,3,2,4,4,,,,,,,1
42,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,
52,1,1,1,,2,2,3,3,4,4,4,4,3,2,1,5,5,,,,,,,1
29,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,,3,2,2,2,3,3,3,3,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,
24,1,,1,,2,3,4,2,3,4,4,5,1,2,2,4,4,,,,,,,2
24,,,1,,2,3,5,5,1,4,1,4,5,1,1,5,2,,,,,,,2
69,,,1,,1,1,2,1,5,4,5,5,1,1,1,5,5,,,,,,,1
13,1,1,,,1,1,3,2,3,4,3,3,4,4,2,3,2,,,,,,,2
63,,,1,,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,2
26,1,,1,1,1,1,3,1,4,4,4,5,1,3,1,5,5,,,,,,,1
26,1,,1,,2,2,3,3,4,4,4,4,2,2,2,3,3,3,1,2,1,1,1,1
41,,,,,,,,,,,,,,,,,,,,,,,,
41,1,1,1,,3,4,4,3,4,3,4,3,2,3,3,4,4,,,,,,,1
52,,1,1,,3,4,3,4,4,4,5,5,1,2,1,5,5,,,,,,,2
66,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,
37,1,,,,3,2,3,2,3,3,3,3,3,4,3,3,3,,,,,,,2
67,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,
10,,1,,,1,1,1,1,4,4,4,5,3,2,1,5,4,,,,,,,1
28,1,,,,4,3,2,3,3,4,4,4,2,2,3,4,4,,,,,,,1
42,1,1,1,1,1,2,2,1,4,3,4,5,1,1,2,5,5,,,,,,,1
1,1,,1,,2,3,2,3,1,4,5,4,3,3,3,4,4,,,,,,,2
17,,,,,1,1,2,3,2,3,3,4,1,1,1,5,4,4,3,4,5,3,4,2
51,,1,1,,2,1,3,2,3,4,5,4,2,3,2,4,5,3,1,1,3,5,4,2
69,1,1,1,,1,1,2,1,4,4,4,5,2,3,2,4,4,3,3,4,4,3,4,1
19,1,1,1,,2,2,3,3,2,2,4,3,2,4,4,4,3,3,4,2,3,1,1,2
63,,,1,,3,3,3,4,4,4,3,5,2,1,1,5,5,,,,,,,1
69,1,,1,,4,3,2,1,3,4,4,4,2,4,2,4,3,4,4,4,4,4,4,2
62,1,,,,2,1,3,1,3,3,5,4,1,3,1,4,3,,,,,,,2
12,1,,,,3,2,3,3,3,4,3,4,2,3,2,4,4,,,,,,,1
26,1,,1,,2,1,2,1,3,4,3,4,3,4,3,3,3,2,1,2,4,3,4,1
55,1,1,,,3,5,5,4,4,3,3,4,2,4,2,3,4,4,4,4,3,4,2,2
1,1,1,1,,2,1,3,4,3,4,4,4,2,1,1,5,5,,,,,,,1
49,,,1,,2,2,4,2,3,1,4,4,1,2,1,5,5,,,,,,,2
6,1,,1,,3,2,4,2,4,3,3,4,4,3,2,5,4,2,3,4,4,3,3,1
24,,,,,,,,,,,,,,,,,,,,,,,,
26,1,,,,2,2,2,2,2,3,4,4,4,2,2,4,4,3,4,4,4,4,4,1
19,1,,1,,2,1,2,2,4,4,5,3,2,3,2,4,4,3,2,3,4,4,3,2
63,,,1,,2,1,2,1,3,4,4,5,1,2,1,5,5,,,,,,,1
3,,,,,4,5,3,2,2,4,4,5,4,5,3,3,4,,,,,,,1
39,,,1,,2,2,4,3,3,3,4,3,1,1,1,5,5,,,,,,,2
21,,,1,1,3,3,3,3,3,4,4,3,3,3,2,4,4,,,,,,,1
49,,,,,3,1,3,2,3,4,5,5,2,3,1,5,4,,,,,,,2
8,1,,1,1,4,3,4,3,3,3,3,3,3,3,3,3,3,,,,,,,1
70,1,1,1,,3,3,4,3,3,3,3,3,3,3,3,3,3,,,,,,,2
42,1,1,1,,1,1,2,1,4,4,5,5,2,4,2,3,3,,,,,,,1
43,1,1,1,,2,2,3,2,3,3,4,4,4,3,3,4,4,,,,,,,1
19,,1,,,3,3,3,3,2,4,2,3,2,3,2,4,3,4,4,4,3,2,2,2
36,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,2
16,1,1,1,1,2,1,2,1,2,3,4,5,4,4,2,5,5,4,3,3,4,5,3,1
63,,,1,,2,2,4,2,2,3,4,4,4,3,2,4,4,,,,,,,1
47,,,,,2,1,3,3,2,3,4,4,2,2,2,4,4,,,,,,,1
16,1,,1,,1,3,4,4,3,4,4,3,1,2,2,4,5,4,3,4,4,3,4,1
1,1,,1,,2,3,2,1,1,3,2,5,3,3,2,4,4,,,,,,,1
41,1,,,,4,4,4,4,3,3,5,4,4,5,3,5,4,,,,,,,2
12,1,,,,5,5,4,5,5,5,5,3,2,5,3,4,5,,,,,,,2
66,1,1,1,,3,2,4,3,4,3,4,4,2,2,1,4,4,,,,,,,1
43,1,,1,,2,2,2,2,3,4,4,4,2,3,3,4,4,,,,,,,1
29,1,,1,,2,3,4,1,4,4,4,5,1,2,1,5,5,,,,,,,1
52,1,,1,,1,1,4,1,4,4,3,4,1,2,1,5,5,,,,,,,1
51,,1,1,,2,2,3,2,3,3,4,4,2,2,2,5,5,4,4,3,4,4,4,1
66,1,1,1,,2,2,2,1,1,1,1,3,1,1,3,4,4,,,,,,,2
23,,,1,,3,2,3,3,2,3,3,3,3,4,3,4,3,,,,,,,2
18,1,,,,1,1,3,4,3,4,3,5,3,4,2,5,4,,,,,,,2
6,1,,1,,2,2,3,3,4,4,4,5,2,3,2,4,4,4,3,4,4,3,3,1
49,1,,1,,1,1,1,1,4,4,4,4,2,2,2,4,5,,,,,,,1
17,1,1,1,,2,2,3,2,3,4,5,4,2,4,3,4,3,4,4,4,4,4,4,1
